entity,slug,code,year,population,source_url
Ivory Coast,ivory-coast,ivory-coast,2025,32711547,https://worldpopulationreview.com/countries/ivory-coast
Ivory Coast,ivory-coast,ivory-coast,2026,33494346,https://worldpopulationreview.com/countries/ivory-coast
Jamaica,jamaica,jamaica,2024,2835809,https://worldpopulationreview.com/countries/jamaica
Jamaica,jamaica,jamaica,2025,2837077,https://worldpopulationreview.com/countries/jamaica
Jamaica,jamaica,jamaica,2026,2833403,https://worldpopulationreview.com/countries/jamaica
Japan,japan,japan,2024,123743692,https://worldpopulationreview.com/countries/japan
Japan,japan,japan,2025,123103479,https://worldpopulationreview.com/countries/japan
Japan,japan,japan,2026,122427731,https://worldpopulationreview.com/countries/japan
Jersey,jersey,jersey,2024,103817,https://worldpopulationreview.com/countries/jersey
Jersey,jersey,jersey,2025,103989,https://worldpopulationreview.com/countries/jersey
Jersey,jersey,jersey,2026,104106,https://worldpopulationreview.com/countries/jersey
Jordan,jordan,jordan,2024,11389593,https://worldpopulationreview.com/countries/jordan
Jordan,jordan,jordan,2025,11520684,https://worldpopulationreview.com/countries/jordan
Jordan,jordan,jordan,2026,11589532,https://worldpopulationreview.com/countries/jordan
Kazakhstan,kazakhstan,kazakhstan,2024,20571427,https://worldpopulationreview.com/countries/kazakhstan
Kazakhstan,kazakhstan,kazakhstan,2025,20843754,https://worldpopulationreview.com/countries/kazakhstan
Kazakhstan,kazakhstan,kazakhstan,2026,21083626,https://worldpopulationreview.com/countries/kazakhstan
Kenya,kenya,kenya,2024,56469461,https://worldpopulationreview.com/countries/kenya
Kenya,kenya,kenya,2025,57532493,https://worldpopulationreview.com/countries/kenya
Kenya,kenya,kenya,2026,58636412,https://worldpopulationreview.com/countries/kenya
Kiribati,kiribati,kiribati,2024,134410,https://worldpopulationreview.com/countries/kiribati
Kiribati,kiribati,kiribati,2025,136488,https://worldpopulationreview.com/countries/kiribati
Kiribati,kiribati,kiribati,2026,138445,https://worldpopulationreview.com/countries/kiribati
