Entity,Code,Depopulation_Risk_Score,Depopulation_Category,Super_Aged_Risk_Score,Super_Aged_Category,Actual_Depopulation_Flag,Actual_Super_Aged_Flag
Taiwan,TWN,0.8913,High Risk,1.0,Super-Aged Expected,1,1
Tajikistan,TJK,0.0005,Low Risk,0.0,Non-Super-Aged,0,0
Tanzania,TZA,0.0,Low Risk,0.0,Non-Super-Aged,0,0
Thailand,THA,0.577,Moderate Risk,1.0,Super-Aged Expected,1,1
Togo,TGO,0.0002,Low Risk,0.0,Non-Super-Aged,0,0
Tokelau,TKL,0.0001,Low Risk,0.0004,Non-Super-Aged,0,0
Tonga,TON,0.7276,High Risk,0.0,Non-Super-Aged,1,0
Trinidad and Tobago,TTO,0.3871,Moderate Risk,0.9821,Super-Aged Expected,0,1
Tunisia,TUN,0.0745,Low Risk,0.2796,Non-Super-Aged,0,1
Turkey,TUR,0.1352,Low Risk,0.6119,Super-Aged Expected,0,1
Turkmenistan,TKM,0.0017,Low Risk,0.0,Non-Super-Aged,0,0
Turks and Caicos Islands,TCA,0.1041,Low Risk,0.9995,Super-Aged Expected,0,1
Tuvalu,TUV,0.9885,High Risk,0.0,Non-Super-Aged,1,0
Uganda,UGA,0.0,Low Risk,0.0,Non-Super-Aged,0,0
Ukraine,UKR,0.946,High Risk,1.0,Super-Aged Expected,1,1
United Arab Emirates,ARE,0.0003,Low Risk,0.0818,Non-Super-Aged,0,0
United Kingdom,GBR,0.1767,Low Risk,1.0,Super-Aged Expected,0,1
United States,USA,0.1594,Low Risk,1.0,Super-Aged Expected,0,1
United States Virgin Islands,VIR,0.9936,High Risk,1.0,Super-Aged Expected,1,1
Uruguay,URY,0.5504,Moderate Risk,0.9988,Super-Aged Expected,1,1
Uzbekistan,UZB,0.001,Low Risk,0.0,Non-Super-Aged,0,0
Vanuatu,VUT,0.0002,Low Risk,0.0,Non-Super-Aged,0,0
Vatican,VAT,0.1537,Low Risk,1.0,Super-Aged Expected,1,1
Venezuela,VEN,0.0909,Low Risk,0.0005,Non-Super-Aged,0,0
Vietnam,VNM,0.0627,Low Risk,0.1431,Non-Super-Aged,0,0
Wallis and Futuna,WLF,0.9531,High Risk,0.9998,Super-Aged Expected,1,1
Western Sahara,ESH,0.0016,Low Risk,0.0017,Non-Super-Aged,0,0
Yemen,YEM,0.0,Low Risk,0.0,Non-Super-Aged,0,0
Zambia,ZMB,0.0,Low Risk,0.0,Non-Super-Aged,0,0
Zimbabwe,ZWE,0.0003,Low Risk,0.0,Non-Super-Aged,0,0
